n_steps,return_mean,return_std
50000,1.0,0.0
100000,0.8,0.4
150000,0.4,0.8000001
200000,0.0,0.0
250000,0.0,0.0
300000,0.0,0.0
350000,0.0,0.0
400000,0.0,0.0
450000,1.6,0.8
500000,0.0,0.0
550000,0.0,0.0
600000,0.6,0.8
650000,1.2,0.9797959
700000,0.0,0.0
750000,0.0,0.0
800000,0.0,0.0
850000,1.4,1.356466
900000,0.2,0.4
950000,1.6,1.019804
1000000,1.6,0.8
1050000,1.2,0.9797959
1100000,1.2,0.9797959
1150000,0.0,0.0
1200000,0.0,0.0
1250000,0.8,0.97979593
1300000,2.0,1.0954452
1350000,2.0,0.0
1400000,0.0,0.0
1450000,0.0,0.0
1500000,0.0,0.0
1550000,2.0,0.0
1600000,1.6,0.8000001
1650000,0.4,0.8000001
1700000,0.0,0.0
1750000,1.8,0.9797959
1800000,1.2,0.9797959
1850000,1.6,0.8
1900000,1.2,0.9797959
1950000,0.0,0.0
50000,0.0,0.0
100000,0.4,0.48989797
150000,2.0,0.0
50000,0.0,0.0
100000,1.6,1.356466
150000,0.0,0.0
50000,0.0,0.0
100000,0.0,0.0
50000,0.0,0.0
100000,2.0,0.0
150000,0.0,0.0
50000,0.0,0.0
100000,0.0,0.0
150000,0.0,0.0
200000,0.2,0.40000004
250000,0.0,0.0
300000,2.2,0.9797959
350000,2.8,0.7483314
400000,3.6,1.0198039
450000,2.0,0.6324555
500000,0.0,0.0
550000,0.0,0.0
600000,1.8,1.1661904
650000,3.0,0.0
700000,2.4,1.4966629
750000,3.6,2.059126
800000,0.0,0.0
850000,6.8,4.354308
900000,0.0,0.0
950000,4.2,2.7856777
50000,0.0,0.0
100000,0.0,0.0
150000,0.0,0.0
200000,0.4,0.48989797
250000,0.0,0.0
300000,0.4,0.8
350000,2.2,0.97979593
400000,1.4,1.4966629
450000,2.4,0.8
500000,0.0,0.0
550000,0.0,0.0
600000,0.0,0.0
650000,0.0,0.0
700000,0.0,0.0
750000,4.8,0.74833155
800000,5.6,0.48989797
850000,4.8,1.4696939
900000,0.0,0.0
950000,0.0,0.0
1000000,0.0,0.0
1050000,0.0,0.0
1100000,2.6,1.1999999
1150000,0.0,0.0
1200000,0.0,0.0
1250000,0.0,0.0
1300000,5.2,2.2271059
1350000,0.0,0.0
1400000,0.0,0.0
