n_steps,return_mean,return_std
2000,0.0,0.0
4000,0.0,0.0
6000,0.0,0.0
8000,0.6,0.8
10000,0.4,0.48989797
12000,0.2,0.4
14000,0.2,0.40000004
16000,0.2,0.4
2000,0.0,0.0
4000,0.2,0.40000004
6000,0.8,0.74833155
8000,0.4,0.48989797
10000,0.0,0.0
12000,0.4,0.48989797
14000,0.2,0.4
16000,0.0,0.0
18000,0.0,0.0
20000,0.4,0.48989797
22000,0.4,0.8000001
24000,0.8,0.74833155
26000,0.6,0.8
28000,0.4,0.48989797
30000,0.4,0.8
32000,0.4,0.48989797
34000,0.4,0.8000001
36000,0.0,0.0
38000,0.4,0.48989797
40000,0.8,0.74833155
42000,0.6,0.8
44000,1.2,0.7483315
46000,1.0,0.8944272
48000,0.8,0.74833155
50000,1.0,0.6324555
52000,1.2,0.97979593
54000,1.0,0.8944272
56000,1.0,0.8944272
58000,1.2,0.7483315
60000,1.4,0.48989794
62000,0.2,0.40000004
64000,0.6,0.48989794
66000,1.4,0.48989794
68000,1.4,1.4966629
70000,1.6,0.48989794
72000,1.2,0.7483314
74000,1.2,0.9797959
76000,1.8,1.1661904
78000,1.4,0.48989794
80000,1.0,0.8944272
82000,1.6,0.48989794
84000,1.2,0.97979593
86000,1.6,0.48989794
88000,1.4,0.8
90000,1.2,0.7483315
92000,1.4,0.48989794
94000,0.8,0.74833155
96000,1.2,0.7483315
98000,2.0,1.5491934
100000,2.2,0.7483314
102000,1.0,0.6324555
104000,2.4,0.8
106000,1.4,0.48989794
108000,3.2,1.1661904
110000,2.0,0.0
112000,1.8,0.4
114000,1.6,0.48989794
116000,2.0,1.4142135
118000,1.4,0.8000001
120000,1.8,1.7204652
122000,1.2,0.9797959
124000,4.0,1.264911
126000,2.6,1.9595917
128000,2.2,1.4696939
130000,1.8,1.4696938
132000,1.8,0.7483315
134000,2.6,1.0198039
136000,3.6,1.0198039
138000,2.4,1.496663
140000,2.0,2.0976176
142000,3.0,0.8944272
144000,1.6,1.7435596
146000,2.8,1.4696939
148000,3.0,1.7888544
150000,1.2,1.9390719
152000,3.8,1.939072
154000,2.6,1.9595919
156000,3.0,1.67332
158000,1.4,1.019804
160000,2.4,2.3323808
162000,3.8,1.4696938
164000,2.6,1.3564659
166000,4.0,1.4142135
168000,1.8,0.4
170000,2.4,1.8547237
172000,2.4,1.4966629
174000,3.2,1.1661904
176000,2.2,1.9390719
100000,1.8,0.7483314
2000,0.0,0.0
4000,0.2,0.40000004
6000,0.4,0.48989797
8000,0.0,0.0
5000,0.8,0.97979593
10000,0.8,0.97979593
15000,1.2,1.6
20000,0.2,0.4
25000,1.2,1.4696938
30000,1.0,1.0954452
35000,0.8,0.97979593
40000,0.4,0.48989797
45000,1.2,0.7483315
50000,1.0,0.8944272
55000,0.4,0.8000001
60000,0.8,0.97979593
65000,0.4,0.8
70000,0.8,0.74833155
75000,1.8,1.3266499
80000,1.2,0.97979593
85000,0.8,0.74833155
90000,0.4,0.48989797
95000,1.0,0.6324555
100000,0.8,0.97979593
105000,1.2,0.9797959
110000,0.4,0.8
115000,0.6,0.8
120000,1.4,1.019804
125000,0.6,0.8
130000,1.0,0.8944272
135000,0.4,0.48989797
140000,1.0,0.6324555
145000,0.2,0.4
150000,0.8,0.74833155
155000,1.0,0.8944272
160000,1.6,0.48989794
165000,0.4,0.8
170000,0.4,0.48989797
175000,1.0,0.8944272
180000,0.0,0.0
185000,0.4,0.48989797
190000,0.6,0.8
195000,0.2,0.4
200000,0.8,0.97979593
205000,0.8,0.97979593
210000,0.4,0.8
215000,0.4,0.48989797
220000,1.0,0.8944272
225000,0.4,0.8000001
230000,0.4,0.48989797
235000,0.6,0.8
240000,0.4,0.48989797
245000,0.6,0.48989794
250000,0.2,0.4
255000,0.2,0.40000004
260000,1.0,0.6324555
265000,0.8,0.74833155
270000,0.6,0.48989794
275000,0.2,0.4
280000,1.0,0.6324555
285000,0.8,0.40000004
290000,1.2,0.7483315
295000,1.2,0.4
300000,1.4,0.48989794
305000,1.0,0.6324555
310000,0.6,0.8
315000,1.2,0.9797959
320000,1.0,0.6324555
325000,1.6,0.48989794
330000,1.8,0.4
335000,1.2,0.7483315
340000,0.6,0.48989794
345000,1.0,0.8944272
350000,1.0,0.8944272
355000,1.0,0.6324555
360000,0.8,0.74833155
365000,0.6,0.8
370000,0.8,0.97979593
375000,0.8,0.74833155
380000,1.2,0.7483315
385000,0.8,0.74833155
390000,1.4,0.8
395000,1.2,0.9797959
400000,1.2,0.9797959
405000,0.6,0.8
410000,1.6,0.48989794
