n_steps,return_mean,return_std
40000,-116.93339,4.403076
80000,-109.27991,0.44580594
120000,-119.56256,0.18138003
160000,-109.75665,0.14590625
200000,-117.18628,7.643588
240000,-118.82446,0.26216954
280000,-99.00206,20.984476
320000,-96.97853,19.23213
360000,-76.82705,3.7499647
400000,-76.89912,6.8270545
440000,-76.79079,0.17020409
480000,-67.33164,0.8345466
520000,-58.970375,1.2416571
560000,-47.95673,0.3194512
600000,-45.979317,0.08657642
640000,-44.65113,0.21779586
680000,-41.534172,3.1619394
720000,-41.640667,3.909973
760000,-40.856686,4.4445267
800000,-38.47602,2.6212056
840000,-36.82141,2.528791
880000,-25.305141,12.901515
920000,-18.427292,10.692155
960000,-0.06110382,16.903393
1000000,3.1714287,18.926006
1040000,94.52821,45.636078
1080000,176.24161,30.615717
1120000,124.70894,87.32481
1160000,186.00783,107.654144
1200000,259.91168,7.022162
1240000,256.34537,4.368669
1280000,265.4079,3.4632237
1320000,286.27856,4.403743
1360000,239.43904,73.92611
1400000,281.5236,7.8697844
1440000,281.51312,8.663453
1480000,288.02985,1.0525666
1520000,285.2384,1.454041
1560000,287.47592,2.2811706
1600000,285.61606,3.347072
1640000,285.1006,1.2465125
1680000,284.84543,2.979293
1720000,284.04556,2.6885417
1760000,285.03363,2.5889769
1800000,284.93546,2.7844143
1840000,284.23206,2.5712743
1880000,284.68793,0.9862509
