n_steps,return_mean,return_std
20000,-313.7293,68.91672
40000,-182.65836,96.91374
60000,-129.47377,39.1251
80000,-122.67765,45.754143
100000,-97.10826,20.375864
120000,-121.19552,11.141614
140000,-102.05214,18.64259
160000,-86.07092,33.591827
180000,-80.71132,60.763466
200000,-22.52313,53.2072
220000,17.094624,25.55968
240000,-0.90034944,29.59796
260000,-60.36509,87.06345
280000,-19.99931,19.977615
300000,11.604907,38.420757
320000,-88.008316,111.026054
340000,59.90866,81.03422
360000,64.571945,88.77653
380000,51.31357,85.46397
400000,57.530373,44.519173
420000,63.603497,122.80032
440000,-37.074406,57.82322
460000,112.8655,135.0866
480000,93.18227,122.98347
500000,142.93576,80.35798
520000,150.7107,129.04108
540000,215.82217,106.79727
560000,267.42566,5.833909
580000,254.76779,41.952805
600000,248.68588,51.181866
620000,259.64087,53.95852
640000,201.95049,93.59739
660000,259.48077,8.570365
680000,272.7624,7.248638
700000,257.24176,28.156975
720000,233.14111,113.8385
740000,127.37217,122.302925
760000,113.87974,124.02124
780000,226.23872,115.09309
800000,224.35567,86.31885
820000,267.6109,10.566744
840000,281.38837,25.448572
860000,268.66617,18.60545
880000,219.85281,83.30835
900000,186.42769,135.38985
920000,207.79443,92.839005
940000,213.91475,112.018166
960000,262.1912,28.896095
980000,255.11942,38.05564
1000000,280.01114,20.277544
1020000,234.82576,84.20399
1040000,277.6796,11.120696
1060000,271.73145,15.02915
1080000,162.43407,152.41179
1100000,159.48758,101.26397
1120000,277.43848,30.211992
1140000,259.6212,16.512032
1160000,255.6907,14.680683
1180000,269.52277,27.065851
1200000,267.52652,31.162727
1220000,230.87947,88.82158
1240000,280.9809,24.011475
1260000,224.07503,106.854675
1280000,214.39075,94.870255
1300000,277.64886,11.883197
1320000,259.2153,11.2125225
1340000,282.36615,17.480925
1360000,217.84744,105.66661
1380000,216.48758,102.7614
1400000,179.13742,133.2437
1420000,265.74124,20.711184
1440000,214.17944,103.33156
1460000,282.4245,15.371611
1480000,217.53535,113.27909
1500000,165.99452,124.99442
1520000,260.13885,31.250843
1540000,261.9059,11.370434
1560000,209.26578,94.2845
1580000,205.89163,107.77796
1600000,219.23613,93.54172
1620000,183.9286,113.28366
1640000,149.70923,131.13136
1660000,213.04306,104.31689
1680000,272.0329,23.051352
1700000,226.34583,94.58438
1720000,239.30547,100.01844
1740000,249.75212,40.775116
1760000,282.04092,13.247973
1780000,270.78815,34.25507
1800000,263.64633,16.965523
1820000,267.56488,20.30335
1840000,201.46516,113.00413
1860000,148.71056,181.24539
1880000,226.88379,114.24467
1900000,234.75151,103.67922
1920000,271.5642,24.03155
1940000,168.40042,121.098434
