n_steps,return_mean,return_std
20000,-121.73116,58.191654
40000,-125.52879,33.830025
20000,-189.60152,78.106544
40000,-180.95786,52.234165
60000,-187.94847,99.98926
80000,-315.20908,239.29149
100000,-270.88593,275.56628
20000,-576.209,254.27637
40000,-1510.749,769.9747
60000,-765.668,154.5299
80000,-802.1605,152.70172
100000,-741.6327,201.21193
120000,-141.17207,16.443613
140000,-138.99771,22.866758
160000,-148.98523,23.360235
180000,-114.838684,16.182123
200000,-129.7978,20.417936
220000,-139.46309,5.2483573
240000,-105.4258,33.409344
260000,-149.16132,20.849113
280000,-115.301575,63.15329
300000,-126.88503,22.860453
320000,-104.61808,34.926968
340000,-134.37016,17.681332
360000,-141.75452,24.59226
380000,-141.23509,12.437398
400000,-115.00826,63.99157
420000,-146.8299,23.855244
440000,-119.02382,47.32257
460000,-134.90646,16.209812


20000,-266.2992,76.31893
40000,-172.90921,89.14944
60000,-57.90741,35.71228
80000,-84.50523,41.14272
100000,-102.504295,92.20895
120000,-166.26355,63.55735
140000,-187.35161,30.063042
160000,-219.69356,34.455456
180000,-206.52715,20.839312
200000,-131.45763,159.23682
220000,-122.57155,116.75253
240000,-155.00536,11.0713415
260000,-102.95947,47.939327
280000,-130.19185,20.954462
300000,-136.8639,38.73068
320000,-118.93246,32.04955
340000,-95.218414,19.31991
360000,-166.69534,90.02984
380000,-189.36342,38.02673
20000,-263.5965,132.52568
40000,-281.97,61.692528
60000,-157.24391,90.579285
80000,-67.31431,43.609364
100000,-130.00366,76.184456
120000,-36.675293,19.30605
140000,-118.401344,79.99107
160000,-135.99043,36.710342
180000,-93.90857,56.168293
200000,-145.57516,64.2691
220000,-109.307106,22.558535
240000,-72.2101,42.846916
260000,-84.66216,23.326809
280000,-162.42447,58.79137
300000,-67.850685,40.316055
320000,-100.39204,65.29971
340000,-136.84708,55.19963
360000,-156.12671,60.654266
380000,-75.17916,61.045692
400000,-95.60066,82.490585
420000,-126.78318,63.15708
440000,-93.20583,36.70629
460000,-129.0937,127.97407
480000,-83.269455,78.40469
500000,-43.395752,140.48111
520000,-117.9467,75.49953
540000,-44.10826,56.996456
560000,-45.04502,27.500816
580000,-99.159836,51.44926
600000,-168.89853,102.26729
620000,-22.31849,11.362482
640000,-138.13647,77.07187
660000,-116.62069,59.366356
680000,-132.85445,94.1485
700000,-131.59113,95.616295
720000,-79.603775,49.85581
740000,-108.5927,51.591022
760000,-102.738014,56.216587
780000,-131.28967,35.848476
800000,-118.13519,89.475525
820000,-45.00382,57.653255
840000,-94.11977,32.770683
860000,1.8312622,100.64124
880000,-87.275276,58.070984
900000,-107.065506,62.843845
920000,-94.7654,43.44658
940000,-51.70426,51.37611
960000,-108.7094,56.001064
980000,-71.906746,63.54539
1000000,-81.60243,52.470634
1020000,-90.52982,76.54568
1040000,-124.54203,78.68991
1060000,-114.59291,100.021355
1080000,-78.961525,32.032597
1100000,-54.88839,88.9567
1120000,-91.10826,40.01668
1140000,-124.38252,56.215714
1160000,-121.59877,61.59787
1180000,-61.91454,48.202797
1200000,-83.62645,18.008686
1220000,-144.42554,29.451206
1240000,-154.3195,12.540658
1260000,-125.289505,16.604519
1280000,-132.76065,16.76988
1300000,-140.63011,8.031798
1320000,-149.51437,29.187464
1340000,-150.42213,98.083374
1360000,-160.29044,64.57038
1380000,-141.06209,25.783024
1400000,-135.34622,31.636055
1420000,-145.44882,35.120632
1440000,-122.433304,22.626984
1460000,-139.0503,13.694719
