n_steps,return_mean,return_std
5000,-1.44,0.8979978
10000,-0.92,0.9967949
15000,-0.16,0.5425864
20000,-0.08,0.3919184
25000,-1.28,1.24964
30000,-1.28,1.3862178
35000,-0.78,1.1711533
40000,-1.06,1.2713772
45000,-0.74,1.128007
50000,-0.98,1.2568214
55000,-1.24,1.3646978
60000,-0.82,1.1608618
65000,-1.0,1.2489996
70000,-0.98,1.3036871
75000,-0.94,1.2713772
80000,-0.78,1.1711533
85000,-1.14,1.3268006
90000,-0.96,1.2158947
95000,-0.94,1.2713772
100000,-1.3,1.3304135
105000,-0.74,1.0160708
110000,-1.12,1.2749902
115000,-0.68,0.9682975
120000,-1.16,1.4051335
125000,-1.14,1.3712769
130000,-1.26,1.4115239
135000,-1.42,1.3869392
140000,-1.16,1.3617635
145000,-1.62,1.2147428
150000,-1.06,1.239516
155000,-0.74,1.128007
160000,-1.3,1.3304135
165000,-0.92,1.2302846
170000,-1.28,1.3570557
175000,-0.74,1.128007
180000,-1.42,1.3429818
185000,-1.32,1.3181806
190000,-1.38,1.412657
195000,-1.5,1.4177446
200000,-1.08,1.3541048
205000,-0.92,1.2781236
210000,-1.18,1.3518876
215000,-0.86,1.2491596
220000,-0.98,1.2081391
225000,-0.88,1.2432216
230000,-0.86,1.2963024
235000,-1.08,1.3090454
240000,-0.88,1.2432215
245000,-0.92,1.2781236
250000,-0.74,1.073499
255000,-0.74,1.18
260000,-0.8,1.1135529
265000,-1.1,1.3453624
270000,-0.94,1.1732007
275000,-2.38,2.2793858
280000,-2.38,2.432201
285000,-1.98,2.2315018
290000,-2.28,2.3412817
295000,-1.7,2.2022715
300000,-2.24,2.37116
305000,-2.58,2.4420485
310000,-2.38,2.365502
315000,-1.56,2.1181123
320000,-2.36,2.3728464
325000,-2.26,2.3648255
330000,-2.36,2.3644028
335000,-2.38,2.373942
340000,-2.36,2.4556873
345000,-2.18,2.4140422
350000,-1.54,2.1467185
355000,-1.94,2.239732
360000,-2.18,2.3382902
365000,-2.68,2.3616943
370000,-2.18,2.4140422
375000,-2.18,2.2776303
